period,gaslimit,transactionpool,connection,position
5,15500000,5120 2048 3072 2048,ring,6
5,15500000,5120 2048 3072 2048,ring,7
5,15500000,5120 2048 3072 2048,ring,8
5,15500000,5120 2048 3072 2048,ring,9
5,15500000,5120 2048 3072 2048,ring,10
5,15500000,5120 2048 3072 2048,tree,5
5,15500000,5120 2048 3072 2048,tree,6
5,15500000,5120 2048 3072 2048,tree,7
5,15500000,5120 2048 3072 2048,tree,8
5,15500000,5120 2048 3072 2048,tree,9
5,15500000,5120 2048 3072 2048,tree,10
5,15500000,5120 2048 3072 2048,random,5
5,15500000,5120 2048 3072 2048,random,6
5,15500000,5120 2048 3072 2048,random,7
5,15500000,5120 2048 3072 2048,random,8
5,15500000,5120 2048 3072 2048,random,9
5,15500000,5120 2048 3072 2048,random,10
5,16000000,1024 2048 3072 2048,ring,5
5,16000000,1024 2048 3072 2048,ring,6
5,16000000,1024 2048 3072 2048,ring,7
5,16000000,1024 2048 3072 2048,ring,8
5,16000000,1024 2048 3072 2048,ring,9
5,16000000,1024 2048 3072 2048,ring,10
5,16000000,1024 2048 3072 2048,tree,5
5,16000000,1024 2048 3072 2048,tree,6
5,16000000,1024 2048 3072 2048,tree,7
5,16000000,1024 2048 3072 2048,tree,8
5,16000000,1024 2048 3072 2048,tree,9
5,16000000,1024 2048 3072 2048,tree,10
5,16000000,1024 2048 3072 2048,random,5
5,16000000,1024 2048 3072 2048,random,6
5,16000000,1024 2048 3072 2048,random,7
5,16000000,1024 2048 3072 2048,random,8
5,16000000,1024 2048 3072 2048,random,9
5,16000000,1024 2048 3072 2048,random,10
5,16000000,2048 2048 3072 2048,ring,5
5,16000000,2048 2048 3072 2048,ring,6
5,16000000,2048 2048 3072 2048,ring,7
5,16000000,2048 2048 3072 2048,ring,8
5,16000000,2048 2048 3072 2048,ring,9
5,16000000,2048 2048 3072 2048,ring,10
5,16000000,2048 2048 3072 2048,tree,5
5,16000000,2048 2048 3072 2048,tree,6
5,16000000,2048 2048 3072 2048,tree,7
5,16000000,2048 2048 3072 2048,tree,8
5,16000000,2048 2048 3072 2048,tree,9
5,16000000,2048 2048 3072 2048,tree,10
5,16000000,2048 2048 3072 2048,random,5
5,16000000,2048 2048 3072 2048,random,6
5,16000000,2048 2048 3072 2048,random,7
5,16000000,2048 2048 3072 2048,random,8
5,16000000,2048 2048 3072 2048,random,9
5,16000000,2048 2048 3072 2048,random,10
5,16000000,5120 2048 3072 2048,ring,5
5,16000000,5120 2048 3072 2048,ring,6
5,16000000,5120 2048 3072 2048,ring,7
5,16000000,5120 2048 3072 2048,ring,8
5,16000000,5120 2048 3072 2048,ring,9
5,16000000,5120 2048 3072 2048,ring,10
5,16000000,5120 2048 3072 2048,tree,5
5,16000000,5120 2048 3072 2048,tree,6
5,16000000,5120 2048 3072 2048,tree,7
5,16000000,5120 2048 3072 2048,tree,8
5,16000000,5120 2048 3072 2048,tree,9
5,16000000,5120 2048 3072 2048,tree,10
5,16000000,5120 2048 3072 2048,random,5
5,16000000,5120 2048 3072 2048,random,6
5,16000000,5120 2048 3072 2048,random,7
5,16000000,5120 2048 3072 2048,random,8
5,16000000,5120 2048 3072 2048,random,9
5,16000000,5120 2048 3072 2048,random,10
5,16500000,1024 2048 3072 2048,ring,5
5,16500000,1024 2048 3072 2048,ring,6
5,16500000,1024 2048 3072 2048,ring,7
5,16500000,1024 2048 3072 2048,ring,8
5,16500000,1024 2048 3072 2048,ring,9
5,16500000,1024 2048 3072 2048,ring,10
5,16500000,1024 2048 3072 2048,tree,5
5,16500000,1024 2048 3072 2048,tree,6
5,16500000,1024 2048 3072 2048,tree,7
5,16500000,1024 2048 3072 2048,tree,8
5,16500000,1024 2048 3072 2048,tree,9
5,16500000,1024 2048 3072 2048,tree,10
5,16500000,1024 2048 3072 2048,random,5
5,16500000,1024 2048 3072 2048,random,6
5,16500000,1024 2048 3072 2048,random,7
5,16500000,1024 2048 3072 2048,random,8
5,16500000,1024 2048 3072 2048,random,9
5,16500000,1024 2048 3072 2048,random,10
5,16500000,2048 2048 3072 2048,ring,5
5,16500000,2048 2048 3072 2048,ring,6
5,16500000,2048 2048 3072 2048,ring,7
5,16500000,2048 2048 3072 2048,ring,8
5,16500000,2048 2048 3072 2048,ring,9
5,16500000,2048 2048 3072 2048,ring,10
5,16500000,2048 2048 3072 2048,tree,5
5,16500000,2048 2048 3072 2048,tree,6
5,16500000,2048 2048 3072 2048,tree,7
5,16500000,2048 2048 3072 2048,tree,8
5,16500000,2048 2048 3072 2048,tree,9
5,16500000,2048 2048 3072 2048,tree,10
5,16500000,2048 2048 3072 2048,random,5
5,16500000,2048 2048 3072 2048,random,6
5,16500000,2048 2048 3072 2048,random,7
5,16500000,2048 2048 3072 2048,random,8
5,16500000,2048 2048 3072 2048,random,9
5,16500000,2048 2048 3072 2048,random,10
5,16500000,5120 2048 3072 2048,ring,5
5,16500000,5120 2048 3072 2048,ring,6
5,16500000,5120 2048 3072 2048,ring,7
5,16500000,5120 2048 3072 2048,ring,8
5,16500000,5120 2048 3072 2048,ring,9
5,16500000,5120 2048 3072 2048,ring,10
5,16500000,5120 2048 3072 2048,tree,5
5,16500000,5120 2048 3072 2048,tree,6
5,16500000,5120 2048 3072 2048,tree,7
5,16500000,5120 2048 3072 2048,tree,8
5,16500000,5120 2048 3072 2048,tree,9
5,16500000,5120 2048 3072 2048,tree,10
5,16500000,5120 2048 3072 2048,random,5
5,16500000,5120 2048 3072 2048,random,6
5,16500000,5120 2048 3072 2048,random,7
5,16500000,5120 2048 3072 2048,random,8
5,16500000,5120 2048 3072 2048,random,9
5,16500000,5120 2048 3072 2048,random,10
5,17000000,1024 2048 3072 2048,ring,5
5,17000000,1024 2048 3072 2048,ring,6
5,17000000,1024 2048 3072 2048,ring,7
5,17000000,1024 2048 3072 2048,ring,8
5,17000000,1024 2048 3072 2048,ring,9
5,17000000,1024 2048 3072 2048,ring,10
5,17000000,1024 2048 3072 2048,tree,5
5,17000000,1024 2048 3072 2048,tree,6
5,17000000,1024 2048 3072 2048,tree,7
5,17000000,1024 2048 3072 2048,tree,8
5,17000000,1024 2048 3072 2048,tree,9
5,17000000,1024 2048 3072 2048,tree,10
5,17000000,1024 2048 3072 2048,random,5
5,17000000,1024 2048 3072 2048,random,6
5,17000000,1024 2048 3072 2048,random,7
5,17000000,1024 2048 3072 2048,random,8
5,17000000,1024 2048 3072 2048,random,9
5,17000000,1024 2048 3072 2048,random,10
5,17000000,2048 2048 3072 2048,ring,5
5,17000000,2048 2048 3072 2048,ring,6
5,17000000,2048 2048 3072 2048,ring,7
5,17000000,2048 2048 3072 2048,ring,8
5,17000000,2048 2048 3072 2048,ring,9
5,17000000,2048 2048 3072 2048,ring,10
5,17000000,2048 2048 3072 2048,tree,5
5,17000000,2048 2048 3072 2048,tree,6
5,17000000,2048 2048 3072 2048,tree,7
5,17000000,2048 2048 3072 2048,tree,8
5,17000000,2048 2048 3072 2048,tree,9
5,17000000,2048 2048 3072 2048,tree,10
5,17000000,2048 2048 3072 2048,random,5
5,17000000,2048 2048 3072 2048,random,6
5,17000000,2048 2048 3072 2048,random,7
5,17000000,2048 2048 3072 2048,random,8
5,17000000,2048 2048 3072 2048,random,9
5,17000000,2048 2048 3072 2048,random,10
5,17000000,5120 2048 3072 2048,ring,5
5,17000000,5120 2048 3072 2048,ring,6
5,17000000,5120 2048 3072 2048,ring,7
5,17000000,5120 2048 3072 2048,ring,8
5,17000000,5120 2048 3072 2048,ring,9
5,17000000,5120 2048 3072 2048,ring,10
5,17000000,5120 2048 3072 2048,tree,5
5,17000000,5120 2048 3072 2048,tree,6
5,17000000,5120 2048 3072 2048,tree,7
5,17000000,5120 2048 3072 2048,tree,8
5,17000000,5120 2048 3072 2048,tree,9
5,17000000,5120 2048 3072 2048,tree,10
5,17000000,5120 2048 3072 2048,random,5
5,17000000,5120 2048 3072 2048,random,6
5,17000000,5120 2048 3072 2048,random,7
5,17000000,5120 2048 3072 2048,random,8
5,17000000,5120 2048 3072 2048,random,9
5,17000000,5120 2048 3072 2048,random,10
5,17500000,1024 2048 3072 2048,ring,5
5,17500000,1024 2048 3072 2048,ring,6
5,17500000,1024 2048 3072 2048,ring,7
5,17500000,1024 2048 3072 2048,ring,8
5,17500000,1024 2048 3072 2048,ring,9
5,17500000,1024 2048 3072 2048,ring,10
5,17500000,1024 2048 3072 2048,tree,5
5,17500000,1024 2048 3072 2048,tree,6
5,17500000,1024 2048 3072 2048,tree,7
5,17500000,1024 2048 3072 2048,tree,8
5,17500000,1024 2048 3072 2048,tree,9
5,17500000,1024 2048 3072 2048,tree,10
5,17500000,1024 2048 3072 2048,random,5
5,17500000,1024 2048 3072 2048,random,6
5,17500000,1024 2048 3072 2048,random,7
5,17500000,1024 2048 3072 2048,random,8
5,17500000,1024 2048 3072 2048,random,9
5,17500000,1024 2048 3072 2048,random,10
5,17500000,2048 2048 3072 2048,ring,5
5,17500000,2048 2048 3072 2048,ring,6
5,17500000,2048 2048 3072 2048,ring,7
5,17500000,2048 2048 3072 2048,ring,8
5,17500000,2048 2048 3072 2048,ring,9
5,17500000,2048 2048 3072 2048,ring,10
5,17500000,2048 2048 3072 2048,tree,5
5,17500000,2048 2048 3072 2048,tree,6
5,17500000,2048 2048 3072 2048,tree,7
5,17500000,2048 2048 3072 2048,tree,8
5,17500000,2048 2048 3072 2048,tree,9
5,17500000,2048 2048 3072 2048,tree,10
5,17500000,2048 2048 3072 2048,random,5
5,17500000,2048 2048 3072 2048,random,6
5,17500000,2048 2048 3072 2048,random,7
5,17500000,2048 2048 3072 2048,random,8
5,17500000,2048 2048 3072 2048,random,9
5,17500000,2048 2048 3072 2048,random,10
5,17500000,5120 2048 3072 2048,ring,5
5,17500000,5120 2048 3072 2048,ring,6
5,17500000,5120 2048 3072 2048,ring,7
5,17500000,5120 2048 3072 2048,ring,8
5,17500000,5120 2048 3072 2048,ring,9
5,17500000,5120 2048 3072 2048,ring,10
5,17500000,5120 2048 3072 2048,tree,5
5,17500000,5120 2048 3072 2048,tree,6
5,17500000,5120 2048 3072 2048,tree,7
5,17500000,5120 2048 3072 2048,tree,8
5,17500000,5120 2048 3072 2048,tree,9
5,17500000,5120 2048 3072 2048,tree,10
5,17500000,5120 2048 3072 2048,random,5
5,17500000,5120 2048 3072 2048,random,6
5,17500000,5120 2048 3072 2048,random,7
5,17500000,5120 2048 3072 2048,random,8
5,17500000,5120 2048 3072 2048,random,9
5,17500000,5120 2048 3072 2048,random,10
5,18000000,1024 2048 3072 2048,ring,5
5,18000000,1024 2048 3072 2048,ring,6
5,18000000,1024 2048 3072 2048,ring,7
5,18000000,1024 2048 3072 2048,ring,8
5,18000000,1024 2048 3072 2048,ring,9
5,18000000,1024 2048 3072 2048,ring,10
5,18000000,1024 2048 3072 2048,tree,5
5,18000000,1024 2048 3072 2048,tree,6
5,18000000,1024 2048 3072 2048,tree,7
5,18000000,1024 2048 3072 2048,tree,8
5,18000000,1024 2048 3072 2048,tree,9
5,18000000,1024 2048 3072 2048,tree,10
5,18000000,1024 2048 3072 2048,random,5
5,18000000,1024 2048 3072 2048,random,6
5,18000000,1024 2048 3072 2048,random,7
5,18000000,1024 2048 3072 2048,random,8
5,18000000,1024 2048 3072 2048,random,9
5,18000000,1024 2048 3072 2048,random,10
5,18000000,2048 2048 3072 2048,ring,5
5,18000000,2048 2048 3072 2048,ring,6
5,18000000,2048 2048 3072 2048,ring,7
5,18000000,2048 2048 3072 2048,ring,8
5,18000000,2048 2048 3072 2048,ring,9
5,18000000,2048 2048 3072 2048,ring,10
5,18000000,2048 2048 3072 2048,tree,5
5,18000000,2048 2048 3072 2048,tree,6
5,18000000,2048 2048 3072 2048,tree,7
5,18000000,2048 2048 3072 2048,tree,8
5,18000000,2048 2048 3072 2048,tree,9
5,18000000,2048 2048 3072 2048,tree,10
5,18000000,2048 2048 3072 2048,random,5
5,18000000,2048 2048 3072 2048,random,6
5,18000000,2048 2048 3072 2048,random,7
5,18000000,2048 2048 3072 2048,random,8
5,18000000,2048 2048 3072 2048,random,9
5,18000000,2048 2048 3072 2048,random,10
5,18000000,5120 2048 3072 2048,ring,5
5,18000000,5120 2048 3072 2048,ring,6
5,18000000,5120 2048 3072 2048,ring,7
5,18000000,5120 2048 3072 2048,ring,8
5,18000000,5120 2048 3072 2048,ring,9
5,18000000,5120 2048 3072 2048,ring,10
5,18000000,5120 2048 3072 2048,tree,5
5,18000000,5120 2048 3072 2048,tree,6
5,18000000,5120 2048 3072 2048,tree,7
5,18000000,5120 2048 3072 2048,tree,8
5,18000000,5120 2048 3072 2048,tree,9
5,18000000,5120 2048 3072 2048,tree,10
5,18000000,5120 2048 3072 2048,random,5
5,18000000,5120 2048 3072 2048,random,6
5,18000000,5120 2048 3072 2048,random,7
5,18000000,5120 2048 3072 2048,random,8
5,18000000,5120 2048 3072 2048,random,9
5,18000000,5120 2048 3072 2048,random,10
5,18500000,1024 2048 3072 2048,ring,5
5,18500000,1024 2048 3072 2048,ring,6
5,18500000,1024 2048 3072 2048,ring,7
5,18500000,1024 2048 3072 2048,ring,8
5,18500000,1024 2048 3072 2048,ring,9
5,18500000,1024 2048 3072 2048,ring,10
5,18500000,1024 2048 3072 2048,tree,5
5,18500000,1024 2048 3072 2048,tree,6
5,18500000,1024 2048 3072 2048,tree,7
5,18500000,1024 2048 3072 2048,tree,8
5,18500000,1024 2048 3072 2048,tree,9
5,18500000,1024 2048 3072 2048,tree,10
5,18500000,1024 2048 3072 2048,random,5
5,18500000,1024 2048 3072 2048,random,6
5,18500000,1024 2048 3072 2048,random,7
5,18500000,1024 2048 3072 2048,random,8
5,18500000,1024 2048 3072 2048,random,9
5,18500000,1024 2048 3072 2048,random,10
5,18500000,2048 2048 3072 2048,ring,5
5,18500000,2048 2048 3072 2048,ring,6
5,18500000,2048 2048 3072 2048,ring,7
5,18500000,2048 2048 3072 2048,ring,8
5,18500000,2048 2048 3072 2048,ring,9
5,18500000,2048 2048 3072 2048,ring,10
5,18500000,2048 2048 3072 2048,tree,5
5,18500000,2048 2048 3072 2048,tree,6
5,18500000,2048 2048 3072 2048,tree,7
5,18500000,2048 2048 3072 2048,tree,8
5,18500000,2048 2048 3072 2048,tree,9
5,18500000,2048 2048 3072 2048,tree,10
5,18500000,2048 2048 3072 2048,random,5
5,18500000,2048 2048 3072 2048,random,6
5,18500000,2048 2048 3072 2048,random,7
5,18500000,2048 2048 3072 2048,random,8
5,18500000,2048 2048 3072 2048,random,9
5,18500000,2048 2048 3072 2048,random,10
5,18500000,5120 2048 3072 2048,ring,5
5,18500000,5120 2048 3072 2048,ring,6
5,18500000,5120 2048 3072 2048,ring,7
5,18500000,5120 2048 3072 2048,ring,8
5,18500000,5120 2048 3072 2048,ring,9
5,18500000,5120 2048 3072 2048,ring,10
5,18500000,5120 2048 3072 2048,tree,5
5,18500000,5120 2048 3072 2048,tree,6
5,18500000,5120 2048 3072 2048,tree,7
5,18500000,5120 2048 3072 2048,tree,8
5,18500000,5120 2048 3072 2048,tree,9
5,18500000,5120 2048 3072 2048,tree,10
5,18500000,5120 2048 3072 2048,random,5
5,18500000,5120 2048 3072 2048,random,6
5,18500000,5120 2048 3072 2048,random,7
5,18500000,5120 2048 3072 2048,random,8
5,18500000,5120 2048 3072 2048,random,9
5,18500000,5120 2048 3072 2048,random,10
5,19000000,1024 2048 3072 2048,ring,5
5,19000000,1024 2048 3072 2048,ring,6
5,19000000,1024 2048 3072 2048,ring,7
5,19000000,1024 2048 3072 2048,ring,8
5,19000000,1024 2048 3072 2048,ring,9
5,19000000,1024 2048 3072 2048,ring,10
5,19000000,1024 2048 3072 2048,tree,5
5,19000000,1024 2048 3072 2048,tree,6
5,19000000,1024 2048 3072 2048,tree,7
5,19000000,1024 2048 3072 2048,tree,8
5,19000000,1024 2048 3072 2048,tree,9
5,19000000,1024 2048 3072 2048,tree,10
5,19000000,1024 2048 3072 2048,random,5
5,19000000,1024 2048 3072 2048,random,6
5,19000000,1024 2048 3072 2048,random,7
5,19000000,1024 2048 3072 2048,random,8
5,19000000,1024 2048 3072 2048,random,9
5,19000000,1024 2048 3072 2048,random,10
5,19000000,2048 2048 3072 2048,ring,5
5,19000000,2048 2048 3072 2048,ring,6
5,19000000,2048 2048 3072 2048,ring,7
5,19000000,2048 2048 3072 2048,ring,8
5,19000000,2048 2048 3072 2048,ring,9
5,19000000,2048 2048 3072 2048,ring,10
5,19000000,2048 2048 3072 2048,tree,5
5,19000000,2048 2048 3072 2048,tree,6
5,19000000,2048 2048 3072 2048,tree,7
5,19000000,2048 2048 3072 2048,tree,8
5,19000000,2048 2048 3072 2048,tree,9
5,19000000,2048 2048 3072 2048,tree,10
5,19000000,2048 2048 3072 2048,random,5
5,19000000,2048 2048 3072 2048,random,6
5,19000000,2048 2048 3072 2048,random,7
5,19000000,2048 2048 3072 2048,random,8
5,19000000,2048 2048 3072 2048,random,9
5,19000000,2048 2048 3072 2048,random,10
5,19000000,5120 2048 3072 2048,ring,5
5,19000000,5120 2048 3072 2048,ring,6
5,19000000,5120 2048 3072 2048,ring,7
5,19000000,5120 2048 3072 2048,ring,8
5,19000000,5120 2048 3072 2048,ring,9
5,19000000,5120 2048 3072 2048,ring,10
5,19000000,5120 2048 3072 2048,tree,5
5,19000000,5120 2048 3072 2048,tree,6
5,19000000,5120 2048 3072 2048,tree,7
5,19000000,5120 2048 3072 2048,tree,8
5,19000000,5120 2048 3072 2048,tree,9
5,19000000,5120 2048 3072 2048,tree,10
5,19000000,5120 2048 3072 2048,random,5
5,19000000,5120 2048 3072 2048,random,6
5,19000000,5120 2048 3072 2048,random,7
5,19000000,5120 2048 3072 2048,random,8
5,19000000,5120 2048 3072 2048,random,9
5,19000000,5120 2048 3072 2048,random,10
5,19500000,1024 2048 3072 2048,ring,5
5,19500000,1024 2048 3072 2048,ring,6
5,19500000,1024 2048 3072 2048,ring,7
5,19500000,1024 2048 3072 2048,ring,8
5,19500000,1024 2048 3072 2048,ring,9
5,19500000,1024 2048 3072 2048,ring,10
5,19500000,1024 2048 3072 2048,tree,5
5,19500000,1024 2048 3072 2048,tree,6
5,19500000,1024 2048 3072 2048,tree,7
5,19500000,1024 2048 3072 2048,tree,8
5,19500000,1024 2048 3072 2048,tree,9
5,19500000,1024 2048 3072 2048,tree,10
5,19500000,1024 2048 3072 2048,random,5
5,19500000,1024 2048 3072 2048,random,6
5,19500000,1024 2048 3072 2048,random,7
5,19500000,1024 2048 3072 2048,random,8
5,19500000,1024 2048 3072 2048,random,9
5,19500000,1024 2048 3072 2048,random,10
5,19500000,2048 2048 3072 2048,ring,5
5,19500000,2048 2048 3072 2048,ring,6
5,19500000,2048 2048 3072 2048,ring,7
5,19500000,2048 2048 3072 2048,ring,8
5,19500000,2048 2048 3072 2048,ring,9
5,19500000,2048 2048 3072 2048,ring,10
5,19500000,2048 2048 3072 2048,tree,5
5,19500000,2048 2048 3072 2048,tree,6
5,19500000,2048 2048 3072 2048,tree,7
5,19500000,2048 2048 3072 2048,tree,8
5,19500000,2048 2048 3072 2048,tree,9
5,19500000,2048 2048 3072 2048,tree,10
5,19500000,2048 2048 3072 2048,random,5
5,19500000,2048 2048 3072 2048,random,6
5,19500000,2048 2048 3072 2048,random,7
5,19500000,2048 2048 3072 2048,random,8
5,19500000,2048 2048 3072 2048,random,9
5,19500000,2048 2048 3072 2048,random,10
5,19500000,5120 2048 3072 2048,ring,5
5,19500000,5120 2048 3072 2048,ring,6
5,19500000,5120 2048 3072 2048,ring,7
5,19500000,5120 2048 3072 2048,ring,8
5,19500000,5120 2048 3072 2048,ring,9
5,19500000,5120 2048 3072 2048,ring,10
5,19500000,5120 2048 3072 2048,tree,5
5,19500000,5120 2048 3072 2048,tree,6
5,19500000,5120 2048 3072 2048,tree,7
5,19500000,5120 2048 3072 2048,tree,8
5,19500000,5120 2048 3072 2048,tree,9
5,19500000,5120 2048 3072 2048,tree,10
5,19500000,5120 2048 3072 2048,random,5
5,19500000,5120 2048 3072 2048,random,6
5,19500000,5120 2048 3072 2048,random,7
5,19500000,5120 2048 3072 2048,random,8
5,19500000,5120 2048 3072 2048,random,9
5,19500000,5120 2048 3072 2048,random,10
6,15000000,1024 2048 3072 2048,ring,5
6,15000000,1024 2048 3072 2048,ring,6
6,15000000,1024 2048 3072 2048,ring,7
6,15000000,1024 2048 3072 2048,ring,8
6,15000000,1024 2048 3072 2048,ring,9
6,15000000,1024 2048 3072 2048,ring,10
6,15000000,1024 2048 3072 2048,tree,5
6,15000000,1024 2048 3072 2048,tree,6
6,15000000,1024 2048 3072 2048,tree,7
6,15000000,1024 2048 3072 2048,tree,8
6,15000000,1024 2048 3072 2048,tree,9
6,15000000,1024 2048 3072 2048,tree,10
6,15000000,1024 2048 3072 2048,random,5
6,15000000,1024 2048 3072 2048,random,6
6,15000000,1024 2048 3072 2048,random,7
6,15000000,1024 2048 3072 2048,random,8
6,15000000,1024 2048 3072 2048,random,9
6,15000000,1024 2048 3072 2048,random,10
6,15000000,2048 2048 3072 2048,ring,5
6,15000000,2048 2048 3072 2048,ring,6
6,15000000,2048 2048 3072 2048,ring,7
6,15000000,2048 2048 3072 2048,ring,8
6,15000000,2048 2048 3072 2048,ring,9
6,15000000,2048 2048 3072 2048,ring,10
6,15000000,2048 2048 3072 2048,tree,5
6,15000000,2048 2048 3072 2048,tree,6
6,15000000,2048 2048 3072 2048,tree,7
6,15000000,2048 2048 3072 2048,tree,8
6,15000000,2048 2048 3072 2048,tree,9
6,15000000,2048 2048 3072 2048,tree,10
6,15000000,2048 2048 3072 2048,random,5
6,15000000,2048 2048 3072 2048,random,6
6,15000000,2048 2048 3072 2048,random,7
6,15000000,2048 2048 3072 2048,random,8
6,15000000,2048 2048 3072 2048,random,9
6,15000000,2048 2048 3072 2048,random,10
6,15000000,5120 2048 3072 2048,ring,5
6,15000000,5120 2048 3072 2048,ring,6
6,15000000,5120 2048 3072 2048,ring,7
6,15000000,5120 2048 3072 2048,ring,8
6,15000000,5120 2048 3072 2048,ring,9
6,15000000,5120 2048 3072 2048,ring,10
6,15000000,5120 2048 3072 2048,tree,5
6,15000000,5120 2048 3072 2048,tree,6
6,15000000,5120 2048 3072 2048,tree,7
6,15000000,5120 2048 3072 2048,tree,8
6,15000000,5120 2048 3072 2048,tree,9
6,15000000,5120 2048 3072 2048,tree,10
6,15000000,5120 2048 3072 2048,random,5
6,15000000,5120 2048 3072 2048,random,6
6,15000000,5120 2048 3072 2048,random,7
6,15000000,5120 2048 3072 2048,random,8
6,15000000,5120 2048 3072 2048,random,9
6,15000000,5120 2048 3072 2048,random,10
6,15500000,1024 2048 3072 2048,ring,5
6,15500000,1024 2048 3072 2048,ring,6
6,15500000,1024 2048 3072 2048,ring,7
6,15500000,1024 2048 3072 2048,ring,8
6,15500000,1024 2048 3072 2048,ring,9
6,15500000,1024 2048 3072 2048,ring,10
6,15500000,1024 2048 3072 2048,tree,5
6,15500000,1024 2048 3072 2048,tree,6
6,15500000,1024 2048 3072 2048,tree,7
6,15500000,1024 2048 3072 2048,tree,8
6,15500000,1024 2048 3072 2048,tree,9
6,15500000,1024 2048 3072 2048,tree,10
6,15500000,1024 2048 3072 2048,random,5
6,15500000,1024 2048 3072 2048,random,6
6,15500000,1024 2048 3072 2048,random,7
6,15500000,1024 2048 3072 2048,random,8
6,15500000,1024 2048 3072 2048,random,9
6,15500000,1024 2048 3072 2048,random,10
6,15500000,2048 2048 3072 2048,ring,5
6,15500000,2048 2048 3072 2048,ring,6
6,15500000,2048 2048 3072 2048,ring,7
