period,gaslimit,transactionpool,connection,position,number
5,17000000,2048 2048 3072 2048,random,b,1
5,17000000,5120 2048 3072 2048,ring,a,1
5,17000000,5120 2048 3072 2048,ring,b,1
5,17000000,5120 2048 3072 2048,tree,a,1
5,17000000,5120 2048 3072 2048,tree,b,1
5,17000000,5120 2048 3072 2048,random,a,1
5,17000000,5120 2048 3072 2048,random,b,1
5,18000000,1024 2048 3072 2048,ring,a,1
5,18000000,1024 2048 3072 2048,ring,b,1
5,18000000,1024 2048 3072 2048,tree,a,1
5,18000000,1024 2048 3072 2048,tree,b,1
5,18000000,1024 2048 3072 2048,random,a,1
5,18000000,1024 2048 3072 2048,random,b,1
5,18000000,2048 2048 3072 2048,ring,a,1
5,18000000,2048 2048 3072 2048,ring,b,1
5,18000000,2048 2048 3072 2048,tree,a,1
5,18000000,2048 2048 3072 2048,tree,b,1
5,18000000,2048 2048 3072 2048,random,a,1
5,18000000,2048 2048 3072 2048,random,b,1
5,18000000,5120 2048 3072 2048,ring,a,1
5,18000000,5120 2048 3072 2048,ring,b,1
5,18000000,5120 2048 3072 2048,tree,a,1
5,18000000,5120 2048 3072 2048,tree,b,1
5,18000000,5120 2048 3072 2048,random,a,1
5,18000000,5120 2048 3072 2048,random,b,1
5,19000000,1024 2048 3072 2048,ring,a,1
5,19000000,1024 2048 3072 2048,ring,b,1
5,19000000,1024 2048 3072 2048,tree,a,1
5,19000000,1024 2048 3072 2048,tree,b,1
5,19000000,1024 2048 3072 2048,random,a,1
5,19000000,1024 2048 3072 2048,random,b,1
5,19000000,2048 2048 3072 2048,ring,a,1
5,19000000,2048 2048 3072 2048,ring,b,1
5,19000000,2048 2048 3072 2048,tree,a,1
5,19000000,2048 2048 3072 2048,tree,b,1
5,19000000,2048 2048 3072 2048,random,a,1
5,19000000,2048 2048 3072 2048,random,b,1
5,19000000,5120 2048 3072 2048,ring,a,1
5,19000000,5120 2048 3072 2048,ring,b,1
5,19000000,5120 2048 3072 2048,tree,a,1
5,19000000,5120 2048 3072 2048,tree,b,1
5,19000000,5120 2048 3072 2048,random,a,1
5,19000000,5120 2048 3072 2048,random,b,1
6,15000000,1024 2048 3072 2048,ring,a,1
6,15000000,1024 2048 3072 2048,ring,b,1
6,15000000,1024 2048 3072 2048,tree,a,1
6,15000000,1024 2048 3072 2048,tree,b,1
6,15000000,1024 2048 3072 2048,random,a,1
6,15000000,1024 2048 3072 2048,random,b,1
6,15000000,2048 2048 3072 2048,ring,a,1
6,15000000,2048 2048 3072 2048,ring,b,1
6,15000000,2048 2048 3072 2048,tree,a,1
6,15000000,2048 2048 3072 2048,tree,b,1
6,15000000,2048 2048 3072 2048,random,a,1
6,15000000,2048 2048 3072 2048,random,b,1
6,15000000,5120 2048 3072 2048,ring,a,1
6,15000000,5120 2048 3072 2048,ring,b,1
6,15000000,5120 2048 3072 2048,tree,a,1
6,15000000,5120 2048 3072 2048,tree,b,1
6,15000000,5120 2048 3072 2048,random,a,1
6,15000000,5120 2048 3072 2048,random,b,1
6,16000000,1024 2048 3072 2048,ring,a,1
6,16000000,1024 2048 3072 2048,ring,b,1
6,16000000,1024 2048 3072 2048,tree,a,1
6,16000000,1024 2048 3072 2048,tree,b,1
6,16000000,1024 2048 3072 2048,random,a,1
6,16000000,1024 2048 3072 2048,random,b,1
6,16000000,2048 2048 3072 2048,ring,a,1
6,16000000,2048 2048 3072 2048,ring,b,1
6,16000000,2048 2048 3072 2048,tree,a,1
6,16000000,2048 2048 3072 2048,tree,b,1
6,16000000,2048 2048 3072 2048,random,a,1
6,16000000,2048 2048 3072 2048,random,b,1
6,16000000,5120 2048 3072 2048,ring,a,1
6,16000000,5120 2048 3072 2048,ring,b,1
6,16000000,5120 2048 3072 2048,tree,a,1
6,16000000,5120 2048 3072 2048,tree,b,1
6,16000000,5120 2048 3072 2048,random,a,1
6,16000000,5120 2048 3072 2048,random,b,1
6,17000000,1024 2048 3072 2048,ring,a,1
6,17000000,1024 2048 3072 2048,ring,b,1
6,17000000,1024 2048 3072 2048,tree,a,1
6,17000000,1024 2048 3072 2048,tree,b,1
6,17000000,1024 2048 3072 2048,random,a,1
6,17000000,1024 2048 3072 2048,random,b,1
6,17000000,2048 2048 3072 2048,ring,a,1
6,17000000,2048 2048 3072 2048,ring,b,1
6,17000000,2048 2048 3072 2048,tree,a,1
6,17000000,2048 2048 3072 2048,tree,b,1
6,17000000,2048 2048 3072 2048,random,a,1
6,17000000,2048 2048 3072 2048,random,b,1
6,17000000,5120 2048 3072 2048,ring,a,1
6,17000000,5120 2048 3072 2048,ring,b,1
6,17000000,5120 2048 3072 2048,tree,a,1
6,17000000,5120 2048 3072 2048,tree,b,1
6,17000000,5120 2048 3072 2048,random,a,1
6,17000000,5120 2048 3072 2048,random,b,1
6,18000000,1024 2048 3072 2048,ring,a,1
6,18000000,1024 2048 3072 2048,ring,b,1
6,18000000,1024 2048 3072 2048,tree,a,1
6,18000000,1024 2048 3072 2048,tree,b,1
6,18000000,1024 2048 3072 2048,random,a,1
6,18000000,1024 2048 3072 2048,random,b,1
6,18000000,2048 2048 3072 2048,ring,a,1
6,18000000,2048 2048 3072 2048,ring,b,1
6,18000000,2048 2048 3072 2048,tree,a,1
6,18000000,2048 2048 3072 2048,tree,b,1
6,18000000,2048 2048 3072 2048,random,a,1
6,18000000,2048 2048 3072 2048,random,b,1
6,18000000,5120 2048 3072 2048,ring,a,1
6,18000000,5120 2048 3072 2048,ring,b,1
6,18000000,5120 2048 3072 2048,tree,a,1
6,18000000,5120 2048 3072 2048,tree,b,1
6,18000000,5120 2048 3072 2048,random,a,1
6,18000000,5120 2048 3072 2048,random,b,1
6,19000000,1024 2048 3072 2048,ring,a,1
6,19000000,1024 2048 3072 2048,ring,b,1
6,19000000,1024 2048 3072 2048,tree,a,1
6,19000000,1024 2048 3072 2048,tree,b,1
6,19000000,1024 2048 3072 2048,random,a,1
6,19000000,1024 2048 3072 2048,random,b,1
6,19000000,2048 2048 3072 2048,ring,a,1
6,19000000,2048 2048 3072 2048,ring,b,1
6,19000000,2048 2048 3072 2048,tree,a,1
6,19000000,2048 2048 3072 2048,tree,b,1
6,19000000,2048 2048 3072 2048,random,a,1
6,19000000,2048 2048 3072 2048,random,b,1
6,19000000,5120 2048 3072 2048,ring,a,1
6,19000000,5120 2048 3072 2048,ring,b,1
6,19000000,5120 2048 3072 2048,tree,a,1
6,19000000,5120 2048 3072 2048,tree,b,1
6,19000000,5120 2048 3072 2048,random,a,1
6,19000000,5120 2048 3072 2048,random,b,1
7,15000000,1024 2048 3072 2048,ring,a,1
7,15000000,1024 2048 3072 2048,ring,b,1
7,15000000,1024 2048 3072 2048,tree,a,1
7,15000000,1024 2048 3072 2048,tree,b,1
7,15000000,1024 2048 3072 2048,random,a,1
7,15000000,1024 2048 3072 2048,random,b,1
7,15000000,2048 2048 3072 2048,ring,a,1
7,15000000,2048 2048 3072 2048,ring,b,1
7,15000000,2048 2048 3072 2048,tree,a,1
7,15000000,2048 2048 3072 2048,tree,b,1
7,15000000,2048 2048 3072 2048,random,a,1
7,15000000,2048 2048 3072 2048,random,b,1
7,15000000,5120 2048 3072 2048,ring,a,1
7,15000000,5120 2048 3072 2048,ring,b,1
7,15000000,5120 2048 3072 2048,tree,a,1
7,15000000,5120 2048 3072 2048,tree,b,1
7,15000000,5120 2048 3072 2048,random,a,1
7,15000000,5120 2048 3072 2048,random,b,1
7,16000000,1024 2048 3072 2048,ring,a,1
7,16000000,1024 2048 3072 2048,ring,b,1
7,16000000,1024 2048 3072 2048,tree,a,1
7,16000000,1024 2048 3072 2048,tree,b,1
7,16000000,1024 2048 3072 2048,random,a,1
7,16000000,1024 2048 3072 2048,random,b,1
7,16000000,2048 2048 3072 2048,ring,a,1
7,16000000,2048 2048 3072 2048,ring,b,1
7,16000000,2048 2048 3072 2048,tree,a,1
7,16000000,2048 2048 3072 2048,tree,b,1
7,16000000,2048 2048 3072 2048,random,a,1
7,16000000,2048 2048 3072 2048,random,b,1
7,16000000,5120 2048 3072 2048,ring,a,1
7,16000000,5120 2048 3072 2048,ring,b,1
7,16000000,5120 2048 3072 2048,tree,a,1
7,16000000,5120 2048 3072 2048,tree,b,1
7,16000000,5120 2048 3072 2048,random,a,1
7,16000000,5120 2048 3072 2048,random,b,1
7,17000000,1024 2048 3072 2048,ring,a,1
7,17000000,1024 2048 3072 2048,ring,b,1
7,17000000,1024 2048 3072 2048,tree,a,1
7,17000000,1024 2048 3072 2048,tree,b,1
7,17000000,1024 2048 3072 2048,random,a,1
7,17000000,1024 2048 3072 2048,random,b,1
7,17000000,2048 2048 3072 2048,ring,a,1
7,17000000,2048 2048 3072 2048,ring,b,1
7,17000000,2048 2048 3072 2048,tree,a,1
7,17000000,2048 2048 3072 2048,tree,b,1
7,17000000,2048 2048 3072 2048,random,a,1
7,17000000,2048 2048 3072 2048,random,b,1
7,17000000,5120 2048 3072 2048,ring,a,1
7,17000000,5120 2048 3072 2048,ring,b,1
7,17000000,5120 2048 3072 2048,tree,a,1
7,17000000,5120 2048 3072 2048,tree,b,1
7,17000000,5120 2048 3072 2048,random,a,1
7,17000000,5120 2048 3072 2048,random,b,1
7,18000000,1024 2048 3072 2048,ring,a,1
7,18000000,1024 2048 3072 2048,ring,b,1
7,18000000,1024 2048 3072 2048,tree,a,1
7,18000000,1024 2048 3072 2048,tree,b,1
7,18000000,1024 2048 3072 2048,random,a,1
7,18000000,1024 2048 3072 2048,random,b,1
7,18000000,2048 2048 3072 2048,ring,a,1
7,18000000,2048 2048 3072 2048,ring,b,1
7,18000000,2048 2048 3072 2048,tree,a,1
7,18000000,2048 2048 3072 2048,tree,b,1
7,18000000,2048 2048 3072 2048,random,a,1
7,18000000,2048 2048 3072 2048,random,b,1
7,18000000,5120 2048 3072 2048,ring,a,1
7,18000000,5120 2048 3072 2048,ring,b,1
7,18000000,5120 2048 3072 2048,tree,a,1
7,18000000,5120 2048 3072 2048,tree,b,1
7,18000000,5120 2048 3072 2048,random,a,1
7,18000000,5120 2048 3072 2048,random,b,1
7,19000000,1024 2048 3072 2048,ring,a,1
7,19000000,1024 2048 3072 2048,ring,b,1
7,19000000,1024 2048 3072 2048,tree,a,1
7,19000000,1024 2048 3072 2048,tree,b,1
7,19000000,1024 2048 3072 2048,random,a,1
7,19000000,1024 2048 3072 2048,random,b,1
7,19000000,2048 2048 3072 2048,ring,a,1
7,19000000,2048 2048 3072 2048,ring,b,1
7,19000000,2048 2048 3072 2048,tree,a,1
7,19000000,2048 2048 3072 2048,tree,b,1
7,19000000,2048 2048 3072 2048,random,a,1
7,19000000,2048 2048 3072 2048,random,b,1
7,19000000,5120 2048 3072 2048,ring,a,1
7,19000000,5120 2048 3072 2048,ring,b,1
7,19000000,5120 2048 3072 2048,tree,a,1
7,19000000,5120 2048 3072 2048,tree,b,1
7,19000000,5120 2048 3072 2048,random,a,1
7,19000000,5120 2048 3072 2048,random,b,1
8,15000000,1024 2048 3072 2048,ring,a,1
8,15000000,1024 2048 3072 2048,ring,b,1
8,15000000,1024 2048 3072 2048,tree,a,1
8,15000000,1024 2048 3072 2048,tree,b,1
8,15000000,1024 2048 3072 2048,random,a,1
8,15000000,1024 2048 3072 2048,random,b,1
8,15000000,2048 2048 3072 2048,ring,a,1
8,15000000,2048 2048 3072 2048,ring,b,1
8,15000000,2048 2048 3072 2048,tree,a,1
8,15000000,2048 2048 3072 2048,tree,b,1
8,15000000,2048 2048 3072 2048,random,a,1
8,15000000,2048 2048 3072 2048,random,b,1
8,15000000,5120 2048 3072 2048,ring,a,1
8,15000000,5120 2048 3072 2048,ring,b,1
8,15000000,5120 2048 3072 2048,tree,a,1
8,15000000,5120 2048 3072 2048,tree,b,1
8,15000000,5120 2048 3072 2048,random,a,1
8,15000000,5120 2048 3072 2048,random,b,1
8,16000000,1024 2048 3072 2048,ring,a,1
8,16000000,1024 2048 3072 2048,ring,b,1
8,16000000,1024 2048 3072 2048,tree,a,1
8,16000000,1024 2048 3072 2048,tree,b,1
8,16000000,1024 2048 3072 2048,random,a,1
8,16000000,1024 2048 3072 2048,random,b,1
8,16000000,2048 2048 3072 2048,ring,a,1
8,16000000,2048 2048 3072 2048,ring,b,1
8,16000000,2048 2048 3072 2048,tree,a,1
8,16000000,2048 2048 3072 2048,tree,b,1
8,16000000,2048 2048 3072 2048,random,a,1
8,16000000,2048 2048 3072 2048,random,b,1
8,16000000,5120 2048 3072 2048,ring,a,1
8,16000000,5120 2048 3072 2048,ring,b,1
8,16000000,5120 2048 3072 2048,tree,a,1
8,16000000,5120 2048 3072 2048,tree,b,1
8,16000000,5120 2048 3072 2048,random,a,1
8,16000000,5120 2048 3072 2048,random,b,1
8,17000000,1024 2048 3072 2048,ring,a,1
8,17000000,1024 2048 3072 2048,ring,b,1
8,17000000,1024 2048 3072 2048,tree,a,1
8,17000000,1024 2048 3072 2048,tree,b,1
8,17000000,1024 2048 3072 2048,random,a,1
8,17000000,1024 2048 3072 2048,random,b,1
8,17000000,2048 2048 3072 2048,ring,a,1
8,17000000,2048 2048 3072 2048,ring,b,1
8,17000000,2048 2048 3072 2048,tree,a,1
8,17000000,2048 2048 3072 2048,tree,b,1
8,17000000,2048 2048 3072 2048,random,a,1
8,17000000,2048 2048 3072 2048,random,b,1
8,17000000,5120 2048 3072 2048,ring,a,1
8,17000000,5120 2048 3072 2048,ring,b,1
8,17000000,5120 2048 3072 2048,tree,a,1
8,17000000,5120 2048 3072 2048,tree,b,1
8,17000000,5120 2048 3072 2048,random,a,1
8,17000000,5120 2048 3072 2048,random,b,1
8,18000000,1024 2048 3072 2048,ring,a,1
8,18000000,1024 2048 3072 2048,ring,b,1
8,18000000,1024 2048 3072 2048,tree,a,1
8,18000000,1024 2048 3072 2048,tree,b,1
8,18000000,1024 2048 3072 2048,random,a,1
8,18000000,1024 2048 3072 2048,random,b,1
8,18000000,2048 2048 3072 2048,ring,a,1
8,18000000,2048 2048 3072 2048,ring,b,1
8,18000000,2048 2048 3072 2048,tree,a,1
8,18000000,2048 2048 3072 2048,tree,b,1
8,18000000,2048 2048 3072 2048,random,a,1
8,18000000,2048 2048 3072 2048,random,b,1
8,18000000,5120 2048 3072 2048,ring,a,1
8,18000000,5120 2048 3072 2048,ring,b,1
8,18000000,5120 2048 3072 2048,tree,a,1
8,18000000,5120 2048 3072 2048,tree,b,1
8,18000000,5120 2048 3072 2048,random,a,1
8,18000000,5120 2048 3072 2048,random,b,1
8,19000000,1024 2048 3072 2048,ring,a,1
8,19000000,1024 2048 3072 2048,ring,b,1
8,19000000,1024 2048 3072 2048,tree,a,1
8,19000000,1024 2048 3072 2048,tree,b,1
8,19000000,1024 2048 3072 2048,random,a,1
8,19000000,1024 2048 3072 2048,random,b,1
8,19000000,2048 2048 3072 2048,ring,a,1
8,19000000,2048 2048 3072 2048,ring,b,1
8,19000000,2048 2048 3072 2048,tree,a,1
8,19000000,2048 2048 3072 2048,tree,b,1
8,19000000,2048 2048 3072 2048,random,a,1
8,19000000,2048 2048 3072 2048,random,b,1
8,19000000,5120 2048 3072 2048,ring,a,1
8,19000000,5120 2048 3072 2048,ring,b,1
8,19000000,5120 2048 3072 2048,tree,a,1
8,19000000,5120 2048 3072 2048,tree,b,1
8,19000000,5120 2048 3072 2048,random,a,1
8,19000000,5120 2048 3072 2048,random,b,1
9,15000000,1024 2048 3072 2048,ring,a,1
9,15000000,1024 2048 3072 2048,ring,b,1
9,15000000,1024 2048 3072 2048,tree,a,1
9,15000000,1024 2048 3072 2048,tree,b,1
9,15000000,1024 2048 3072 2048,random,a,1
9,15000000,1024 2048 3072 2048,random,b,1
9,15000000,2048 2048 3072 2048,ring,a,1
9,15000000,2048 2048 3072 2048,ring,b,1
9,15000000,2048 2048 3072 2048,tree,a,1
9,15000000,2048 2048 3072 2048,tree,b,1
9,15000000,2048 2048 3072 2048,random,a,1
9,15000000,2048 2048 3072 2048,random,b,1
9,15000000,5120 2048 3072 2048,ring,a,1
9,15000000,5120 2048 3072 2048,ring,b,1
9,15000000,5120 2048 3072 2048,tree,a,1
9,15000000,5120 2048 3072 2048,tree,b,1
9,15000000,5120 2048 3072 2048,random,a,1
9,15000000,5120 2048 3072 2048,random,b,1
9,16000000,1024 2048 3072 2048,ring,a,1
9,16000000,1024 2048 3072 2048,ring,b,1
9,16000000,1024 2048 3072 2048,tree,a,1
9,16000000,1024 2048 3072 2048,tree,b,1
9,16000000,1024 2048 3072 2048,random,a,1
9,16000000,1024 2048 3072 2048,random,b,1
9,16000000,2048 2048 3072 2048,ring,a,1
9,16000000,2048 2048 3072 2048,ring,b,1
9,16000000,2048 2048 3072 2048,tree,a,1
9,16000000,2048 2048 3072 2048,tree,b,1
9,16000000,2048 2048 3072 2048,random,a,1
9,16000000,2048 2048 3072 2048,random,b,1
9,16000000,5120 2048 3072 2048,ring,a,1
9,16000000,5120 2048 3072 2048,ring,b,1
9,16000000,5120 2048 3072 2048,tree,a,1
9,16000000,5120 2048 3072 2048,tree,b,1
9,16000000,5120 2048 3072 2048,random,a,1
9,16000000,5120 2048 3072 2048,random,b,1
9,17000000,1024 2048 3072 2048,ring,a,1
9,17000000,1024 2048 3072 2048,ring,b,1
9,17000000,1024 2048 3072 2048,tree,a,1
9,17000000,1024 2048 3072 2048,tree,b,1
9,17000000,1024 2048 3072 2048,random,a,1
9,17000000,1024 2048 3072 2048,random,b,1
9,17000000,2048 2048 3072 2048,ring,a,1
9,17000000,2048 2048 3072 2048,ring,b,1
9,17000000,2048 2048 3072 2048,tree,a,1
9,17000000,2048 2048 3072 2048,tree,b,1
9,17000000,2048 2048 3072 2048,random,a,1
9,17000000,2048 2048 3072 2048,random,b,1
9,17000000,5120 2048 3072 2048,ring,a,1
9,17000000,5120 2048 3072 2048,ring,b,1
9,17000000,5120 2048 3072 2048,tree,a,1
9,17000000,5120 2048 3072 2048,tree,b,1
9,17000000,5120 2048 3072 2048,random,a,1
9,17000000,5120 2048 3072 2048,random,b,1
9,18000000,1024 2048 3072 2048,ring,a,1
9,18000000,1024 2048 3072 2048,ring,b,1
9,18000000,1024 2048 3072 2048,tree,a,1
9,18000000,1024 2048 3072 2048,tree,b,1
9,18000000,1024 2048 3072 2048,random,a,1
9,18000000,1024 2048 3072 2048,random,b,1
9,18000000,2048 2048 3072 2048,ring,a,1
9,18000000,2048 2048 3072 2048,ring,b,1
9,18000000,2048 2048 3072 2048,tree,a,1
9,18000000,2048 2048 3072 2048,tree,b,1
9,18000000,2048 2048 3072 2048,random,a,1
9,18000000,2048 2048 3072 2048,random,b,1
9,18000000,5120 2048 3072 2048,ring,a,1
9,18000000,5120 2048 3072 2048,ring,b,1
9,18000000,5120 2048 3072 2048,tree,a,1
9,18000000,5120 2048 3072 2048,tree,b,1
9,18000000,5120 2048 3072 2048,random,a,1
9,18000000,5120 2048 3072 2048,random,b,1
9,19000000,1024 2048 3072 2048,ring,a,1
9,19000000,1024 2048 3072 2048,ring,b,1
9,19000000,1024 2048 3072 2048,tree,a,1
9,19000000,1024 2048 3072 2048,tree,b,1
9,19000000,1024 2048 3072 2048,random,a,1
9,19000000,1024 2048 3072 2048,random,b,1
9,19000000,2048 2048 3072 2048,ring,a,1
9,19000000,2048 2048 3072 2048,ring,b,1
9,19000000,2048 2048 3072 2048,tree,a,1
9,19000000,2048 2048 3072 2048,tree,b,1
9,19000000,2048 2048 3072 2048,random,a,1
9,19000000,2048 2048 3072 2048,random,b,1
9,19000000,5120 2048 3072 2048,ring,a,1
9,19000000,5120 2048 3072 2048,ring,b,1
9,19000000,5120 2048 3072 2048,tree,a,1
9,19000000,5120 2048 3072 2048,tree,b,1
9,19000000,5120 2048 3072 2048,random,a,1
9,19000000,5120 2048 3072 2048,random,b,1
10,15000000,1024 2048 3072 2048,ring,a,1
10,15000000,1024 2048 3072 2048,ring,b,1
10,15000000,1024 2048 3072 2048,tree,a,1
10,15000000,1024 2048 3072 2048,tree,b,1
10,15000000,1024 2048 3072 2048,random,a,1
10,15000000,1024 2048 3072 2048,random,b,1
10,15000000,2048 2048 3072 2048,ring,a,1
10,15000000,2048 2048 3072 2048,ring,b,1
10,15000000,2048 2048 3072 2048,tree,a,1
10,15000000,2048 2048 3072 2048,tree,b,1
10,15000000,2048 2048 3072 2048,random,a,1
10,15000000,2048 2048 3072 2048,random,b,1
10,15000000,5120 2048 3072 2048,ring,a,1
10,15000000,5120 2048 3072 2048,ring,b,1
10,15000000,5120 2048 3072 2048,tree,a,1
10,15000000,5120 2048 3072 2048,tree,b,1
10,15000000,5120 2048 3072 2048,random,a,1
10,15000000,5120 2048 3072 2048,random,b,1
10,16000000,1024 2048 3072 2048,ring,a,1
10,16000000,1024 2048 3072 2048,ring,b,1
10,16000000,1024 2048 3072 2048,tree,a,1
10,16000000,1024 2048 3072 2048,tree,b,1
10,16000000,1024 2048 3072 2048,random,a,1
10,16000000,1024 2048 3072 2048,random,b,1
10,16000000,2048 2048 3072 2048,ring,a,1
10,16000000,2048 2048 3072 2048,ring,b,1
10,16000000,2048 2048 3072 2048,tree,a,1
10,16000000,2048 2048 3072 2048,tree,b,1
10,16000000,2048 2048 3072 2048,random,a,1
10,16000000,2048 2048 3072 2048,random,b,1
10,16000000,5120 2048 3072 2048,ring,a,1
10,16000000,5120 2048 3072 2048,ring,b,1
10,16000000,5120 2048 3072 2048,tree,a,1
10,16000000,5120 2048 3072 2048,tree,b,1
10,16000000,5120 2048 3072 2048,random,a,1
10,16000000,5120 2048 3072 2048,random,b,1
10,17000000,1024 2048 3072 2048,ring,a,1
10,17000000,1024 2048 3072 2048,ring,b,1
10,17000000,1024 2048 3072 2048,tree,a,1
10,17000000,1024 2048 3072 2048,tree,b,1
10,17000000,1024 2048 3072 2048,random,a,1
10,17000000,1024 2048 3072 2048,random,b,1
10,17000000,2048 2048 3072 2048,ring,a,1
10,17000000,2048 2048 3072 2048,ring,b,1
10,17000000,2048 2048 3072 2048,tree,a,1
10,17000000,2048 2048 3072 2048,tree,b,1
10,17000000,2048 2048 3072 2048,random,a,1
10,17000000,2048 2048 3072 2048,random,b,1
10,17000000,5120 2048 3072 2048,ring,a,1
10,17000000,5120 2048 3072 2048,ring,b,1
10,17000000,5120 2048 3072 2048,tree,a,1
10,17000000,5120 2048 3072 2048,tree,b,1
10,17000000,5120 2048 3072 2048,random,a,1
10,17000000,5120 2048 3072 2048,random,b,1
10,18000000,1024 2048 3072 2048,ring,a,1
10,18000000,1024 2048 3072 2048,ring,b,1
10,18000000,1024 2048 3072 2048,tree,a,1
10,18000000,1024 2048 3072 2048,tree,b,1
10,18000000,1024 2048 3072 2048,random,a,1
10,18000000,1024 2048 3072 2048,random,b,1
10,18000000,2048 2048 3072 2048,ring,a,1
10,18000000,2048 2048 3072 2048,ring,b,1
10,18000000,2048 2048 3072 2048,tree,a,1
10,18000000,2048 2048 3072 2048,tree,b,1
10,18000000,2048 2048 3072 2048,random,a,1
10,18000000,2048 2048 3072 2048,random,b,1
10,18000000,5120 2048 3072 2048,ring,a,1
10,18000000,5120 2048 3072 2048,ring,b,1
10,18000000,5120 2048 3072 2048,tree,a,1
10,18000000,5120 2048 3072 2048,tree,b,1
10,18000000,5120 2048 3072 2048,random,a,1
10,18000000,5120 2048 3072 2048,random,b,1
10,19000000,1024 2048 3072 2048,ring,a,1
10,19000000,1024 2048 3072 2048,ring,b,1
10,19000000,1024 2048 3072 2048,tree,a,1
10,19000000,1024 2048 3072 2048,tree,b,1
10,19000000,1024 2048 3072 2048,random,a,1
10,19000000,1024 2048 3072 2048,random,b,1
10,19000000,2048 2048 3072 2048,ring,a,1
10,19000000,2048 2048 3072 2048,ring,b,1
10,19000000,2048 2048 3072 2048,tree,a,1
10,19000000,2048 2048 3072 2048,tree,b,1
10,19000000,2048 2048 3072 2048,random,a,1
10,19000000,2048 2048 3072 2048,random,b,1
10,19000000,5120 2048 3072 2048,ring,a,1
10,19000000,5120 2048 3072 2048,ring,b,1
10,19000000,5120 2048 3072 2048,tree,a,1
10,19000000,5120 2048 3072 2048,tree,b,1
10,19000000,5120 2048 3072 2048,random,a,1
10,19000000,5120 2048 3072 2048,random,b,1
5,15000000,1024 2048 3072 2048,ring,a,2
5,15000000,1024 2048 3072 2048,ring,b,2
5,15000000,1024 2048 3072 2048,tree,a,2
5,15000000,1024 2048 3072 2048,tree,b,2
5,15000000,1024 2048 3072 2048,random,a,2
5,15000000,1024 2048 3072 2048,random,b,2
5,15000000,2048 2048 3072 2048,ring,a,2
5,15000000,2048 2048 3072 2048,ring,b,2
5,15000000,2048 2048 3072 2048,tree,a,2
5,15000000,2048 2048 3072 2048,tree,b,2
5,15000000,2048 2048 3072 2048,random,a,2
5,15000000,2048 2048 3072 2048,random,b,2
5,15000000,5120 2048 3072 2048,ring,a,2
5,15000000,5120 2048 3072 2048,ring,b,2
5,15000000,5120 2048 3072 2048,tree,a,2
5,15000000,5120 2048 3072 2048,tree,b,2
5,15000000,5120 2048 3072 2048,random,a,2
5,15000000,5120 2048 3072 2048,random,b,2
5,16000000,1024 2048 3072 2048,ring,a,2
5,16000000,1024 2048 3072 2048,ring,b,2
5,16000000,1024 2048 3072 2048,tree,a,2
5,16000000,1024 2048 3072 2048,tree,b,2
5,16000000,1024 2048 3072 2048,random,a,2
5,16000000,1024 2048 3072 2048,random,b,2
5,16000000,2048 2048 3072 2048,ring,a,2
